"id";"name";"genitive";"locativus";"level";"parent";"children";"neighbours";"RSPOstateId";"RSPOdistrictId"
"000000";"Polska";"Polski";"Polsce";"k";;"020000,040000,060000,080000,100000,120000,140000,160000,180000,200000,220000,240000,260000,280000,300000,320000";;;
"020000";"Województwo dolnośląskie";"województwa dolnośląskiego";"województwie dolnośląskim";"w";"000000";"020100,020200,020300,020400,020500,020600,020700,020800,020900,021000,021100,021200,021300,021400,021500,021600,021700,021800,021900,022000,022100,022200,022300,022400,022500,022600,026100,026200,026400,026500";"080000,300000,160000";1;
"020100";"Powiat bolesławiecki";"powiatu bolesławieckiego";"powiecie bolesławieckim";"p";"020000";;"021600,020900,021000,021200,022500,022600,081000";1;1
"020200";"Powiat dzierżoniowski";"powiatu dzierżoniowskiego";"powiecie dzierżoniowskim";"p";"020000";;"020800,022100,022300,022400,021700,021900";1;2
"020300";"Powiat głogowski";"powiatu głogowskiego";"powiecie głogowskim";"p";"020000";;"021600,021100,080400,081200,081000,020400";1;3
"020400";"Powiat górowski";"powiatu górowskiego";"powiecie górowskim";"p";"020000";;"302200,301300,021100,022200,081200,022000,020300";1;4
"020500";"Powiat jaworski";"powiatu jaworskiego";"powiecie jaworskim";"p";"020000";;"020900,022100,022600,021800,021900,020700,020600";1;5
"020600";"Powiat karkonoski";"powiatu karkonoskiego";"powiecie karkonoskim";"p";"020000";;"021200,022600,020500,026100,020700";1;6
"020700";"Powiat kamiennogórski";"powiatu kamiennogórskiego";"powiecie kamiennogórskim";"p";"020000";;"022100,020500,020600";1;7
"020800";"Powiat kłodzki";"powiatu kłodzkiego";"powiecie kłodzkim";"p";"020000";;"022100,022400,020200";1;8
"020900";"Powiat legnicki";"powiatu legnickiego";"powiecie legnickim";"p";"020000";;"021600,026200,021100,022200,022600,021800,020500,020100";1;9
"021000";"Powiat lubański";"powiatu lubańskiego";"powiecie lubańskim";"p";"020000";;"021200,022500,020100";1;10
"021100";"Powiat lubiński";"powiatu lubińskiego";"powiecie lubińskim";"p";"020000";;"021600,020900,022200,020300,020400";1;11
"021200";"Powiat lwówecki";"powiatu lwóweckiego";"powiecie lwóweckim";"p";"020000";;"021000,022600,020600,020100";1;12
"021300";"Powiat milicki";"powiatu milickiego";"powiecie milickim";"p";"020000";;"302200,301200,021400,301700,022000";1;13
"021400";"Powiat oleśnicki";"powiatu oleśnickiego";"powiecie oleśnickim";"p";"020000";;"300800,021300,160600,021500,301700,301800,022300,022000";1;14
"021500";"Powiat oławski";"powiatu oławskiego";"powiecie oławskim";"p";"020000";;"160600,021400,022300,021700,160100";1;15
"021600";"Powiat polkowicki";"powiatu polkowickiego";"powiecie polkowickim";"p";"020000";;"020900,021100,081000,020300,020100";1;16
"021700";"Powiat strzeliński";"powiatu strzelińskiego";"powiecie strzelińskim";"p";"020000";;"160700,021500,022300,022400,020200,160100";1;17
"021800";"Powiat średzki";"powiatu średzkiego";"powiecie średzkim";"p";"020000";;"020900,022200,026400,022300,021900,022000,020500";1;18
"021900";"Powiat świdnicki";"powiatu świdnickiego";"powiecie świdnickim";"p";"020000";;"026500,022100,022300,021800,020200,020500";1;19
"022000";"Powiat trzebnicki";"powiatu trzebnickiego";"powiecie trzebnickim";"p";"020000";;"302200,021300,021400,022200,026400,022300,021800,020400";1;20
"022100";"Powiat wałbrzyski";"powiatu wałbrzyskiego";"powiecie wałbrzyskim";"p";"020000";;"020800,026500,021900,020200,020500,020700";1;21
"022200";"Powiat wołowski";"powiatu wołowskiego";"powiecie wołowskim";"p";"020000";;"020900,021100,021800,022000,020400";1;22
"022300";"Powiat wrocławski";"powiatu wrocławskiego";"powiecie wrocławskim";"p";"020000";;"021400,021500,026400,021700,021800,021900,022000,020200";1;23
"022400";"Powiat ząbkowicki";"powiatu ząbkowickiego";"powiecie ząbkowickim";"p";"020000";;"020800,160700,021700,020200";1;24
"022500";"Powiat zgorzelecki";"powiatu zgorzeleckiego";"powiecie zgorzeleckim";"p";"020000";;"021000,081000,081100,020100";1;25
"022600";"Powiat złotoryjski";"powiatu złotoryjskiego";"powiecie złotoryjskim";"p";"020000";;"020900,021200,020500,020600,020100";1;26
"026100";"Jelenia Góra";"Jeleniej Góry";"Jeleniej Górze";"p";"020000";;"020600";1;27
"026200";"Legnica";"Legnicy";"Legnicy";"p";"020000";;"020900";1;28
"026400";"Wrocław";"Wrocławia";"Wrocławiu";"p";"020000";;"022300,021800,022000";1;29
"026500";"Wałbrzych";"Wałbrzycha";"Wałbrzychu";"p";"020000";;"022100,021900";1;380
"040000";"Województwo kujawsko-pomorskie";"województwa kujawsko-pomorskiego";"województwie kujawsko-pomorskim";"w";"000000";"040100,040200,040300,040400,040500,040600,040700,040800,040900,041000,041100,041200,041300,041400,041500,041600,041700,041800,041900,046100,046200,046300,046400";"300000,220000,100000,280000,140000";2;
"040100";"Powiat aleksandrowski";"powiatu aleksandrowskiego";"powiecie aleksandrowskim";"p";"040000";;"041100,040800,041800,041500,040700";2;30
"040200";"Powiat brodnicki";"powiatu brodnickiego";"powiecie brodnickim";"p";"040000";;"281200,041700,143700,041200,280300,040500,040600";2;31
"040300";"Powiat bydgoski";"powiatu bydgoskiego";"powiecie bydgoskim";"p";"040000";;"041000,041600,041900,041300,041400,041500,040700,046100,040400";2;32
"040400";"Powiat chełmiński";"powiatu chełmińskiego";"powiecie chełmińskim";"p";"040000";;"041700,041400,041500,040600,040300";2;33
"040500";"Powiat golubsko-dobrzyński";"powiatu golubsko-dobrzyńskiego";"powiecie golubsko-dobrzyńskim";"p";"040000";;"040800,041700,041200,041500,040200";2;34
"040600";"Powiat grudziądzki";"powiatu grudziądzkiego";"powiecie grudziądzkim";"p";"040000";;"220700,281200,041700,041400,046200,280700,040200,040400";2;35
"040700";"Powiat inowrocławski";"powiatu inowrocławskiego";"powiecie inowrocławskim";"p";"040000";;"041100,301000,040900,041900,041500,040100,040300";2;36
"040800";"Powiat lipnowski";"powiatu lipnowskiego";"powiecie lipnowskim";"p";"040000";;"141900,046400,041800,041200,142700,041500,040500,040100";2;37
"040900";"Powiat mogileński";"powiatu mogileńskiego";"powiecie mogileńskim";"p";"040000";;"301000,041900,302300,300300,040700";2;38
"041000";"Powiat nakielski";"powiatu nakielskiego";"powiecie nakielskim";"p";"040000";;"301900,302800,041900,041300,040300";2;39
"041100";"Powiat radziejowski";"powiatu radziejowskiego";"powiecie radziejowskim";"p";"040000";;"300900,301000,041800,040700,040100";2;40
"041200";"Powiat rypiński";"powiatu rypińskiego";"powiecie rypińskim";"p";"040000";;"040800,143700,142700,040500,040200";2;41
"041300";"Powiat sępoleński";"powiatu sępoleńskiego";"powiecie sępoleńskim";"p";"040000";;"301900,041000,041600,303100,220300,040300,220200";2;42
"041400";"Powiat świecki";"powiatu świeckiego";"powiecie świeckim";"p";"040000";;"220700,041600,221300,221400,046200,040600,040300,040400";2;43
"041500";"Powiat toruński";"powiatu toruńskiego";"powiecie toruńskim";"p";"040000";;"040800,041700,046300,040500,040700,040100,040300,046100,040400";2;44
"041600";"Powiat tucholski";"powiatu tucholskiego";"powiecie tucholskim";"p";"040000";;"041300,221300,041400,040300,220200";2;45
"041700";"Powiat wąbrzeski";"powiatu wąbrzeskiego";"powiecie wąbrzeskim";"p";"040000";;"041500,040500,040600,040200,040400";2;46
"041800";"Powiat włocławski";"powiatu włocławskiego";"powiecie włocławskim";"p";"040000";;"141900,041100,300900,100200,040800,046400,140400,040100";2;47
"041900";"Powiat żniński";"powiatu żnińskiego";"powiecie żnińskim";"p";"040000";;"040900,041000,302800,300300,040700,040300";2;48
"046100";"Bydgoszcz";"Bydgoszczy";"Bydgoszczy";"p";"040000";;"041500,040300";2;49
"046200";"Grudziądz";"Grudziądza";"Grudziądzu";"p";"040000";;"041400,040600";2;50
"046300";"Toruń";"Torunia";"Toruniu";"p";"040000";;"041500";2;51
"046400";"Włocławek";"Włocławka";"Włocławku";"p";"040000";;"040800,041800";2;52
"060000";"Województwo lubelskie";"województwa lubelskiego";"województwie lubelskim";"w";"000000";"060100,060200,060300,060400,060500,060600,060700,060800,060900,061000,061100,061200,061300,061400,061500,061600,061700,061800,061900,062000,066100,066200,066300,066400";"140000,260000,180000,200000";3;
"060100";"Powiat bialski";"powiatu bialskiego";"powiecie bialskim";"p";"060000";;"061500,141000,061100,061300,061900,142600,201000,066100";3;53
"060200";"Powiat biłgorajski";"powiatu biłgorajskiego";"powiecie biłgorajskim";"p";"060000";;"181400,060600,180800,180900,060900,181200,062000,061800,060500";3;54
"060300";"Powiat chełmski";"powiatu chełmskiego";"powiecie chełmskim";"p";"060000";;"060600,061000,061900,062000,061700,060400,066200";3;55
"060400";"Powiat hrubieszowski";"powiatu hrubieszowskiego";"powiecie hrubieszowskim";"p";"060000";;"062000,061800,060300";3;56
"060500";"Powiat janowski";"powiatu janowskiego";"powiecie janowskim";"p";"060000";;"060700,060900,181200,181800,060200";3;57
"060600";"Powiat krasnostawski";"powiatu krasnostawskiego";"powiecie krasnostawskim";"p";"060000";;"060900,062000,061700,060200,060300";3;58
"060700";"Powiat kraśnicki";"powiatu kraśnickiego";"powiecie kraśnickim";"p";"060000";;"060900,260600,061200,260900,181800,060500";3;59
"060800";"Powiat lubartowski";"powiatu lubartowskiego";"powiecie lubartowskim";"p";"060000";;"061400,061500,060900,061000,061100,061300,061600";3;60
"060900";"Powiat lubelski";"powiatu lubelskiego";"powiecie lubelskim";"p";"060000";;"061400,060600,060700,060800,066300,061000,061200,061700,060500,060200";3;61
